segment_id;soilprofile_id;probability;calculation_type
1001;Segment_1001_1D1;8.1;Stability
1001;Segment_1001_1D2;0.9;Stability
1001;Segment_1001_1D3;16.5;Stability
1001;Segment_1001_1D4;4.5;Stability
1001;Segment_1001_1D5;18.9;Stability
1001;Segment_1001_1D6;2.1;Stability
1001;Segment_1001_1D7;38.5;Stability
1001;Segment_1001_1D8;10.5;Stability
1002;Segment_1002_1D1;12.825;Stability
1002;Segment_1002_1D2;29.925;Stability
1002;Segment_1002_1D3;12.825;Stability
1002;Segment_1002_1D4;29.925;Stability
1002;Segment_1002_1D5;2.85;Stability
1002;Segment_1002_1D6;6.65;Stability
1002;Segment_1002_1D7;5.0;Stability
1003;Segment_1003_1D1;9.0;Stability
1003;Segment_1003_1D2;1.0;Stability
1003;Segment_1003_1D3;81.0;Stability
1003;Segment_1003_1D4;9.0;Stability
1004;Segment_1004_1D1;45.0;Stability
1004;Segment_1004_1D2;5.0;Stability
1004;Segment_1004_1D3;45.0;Stability
1004;Segment_1004_1D4;5.0;Stability
1005;Segment_1005_1D1;20.0;Stability
1005;Segment_1005_1D2;20.0;Stability
1005;Segment_1005_1D3;27.5;Stability
1005;Segment_1005_1D4;27.5;Stability
1005;Segment_1005_1D5;2.5;Stability
1005;Segment_1005_1D6;2.5;Stability
1006;Segment_1006_1D1;10.0;Stability
1006;Segment_1006_1D2;54.0;Stability
1006;Segment_1006_1D3;36.0;Stability
1007;Segment_1007_1D1;36.0;Stability
1007;Segment_1007_1D2;4.0;Stability
1007;Segment_1007_1D3;54.0;Stability
1007;Segment_1007_1D4;6.0;Stability
1008;Segment_1008_1D1;25.0;Stability
1008;Segment_1008_1D2;25.0;Stability
1008;Segment_1008_1D3;12.5;Stability
1008;Segment_1008_1D4;12.5;Stability
1008;Segment_1008_1D5;12.5;Stability
1008;Segment_1008_1D6;12.5;Stability
1009;Segment_1009_1D1;21.0;Stability
1009;Segment_1009_1D2;14.0;Stability
1009;Segment_1009_1D3;12.0;Stability
1009;Segment_1009_1D4;8.0;Stability
1009;Segment_1009_1D5;21.0;Stability
1009;Segment_1009_1D6;14.0;Stability
1009;Segment_1009_1D7;6.0;Stability
1009;Segment_1009_1D8;4.0;Stability
