soilprofile_id;top_level;soil_name;
Segment_1001_1D1;60.0;H_Aa_ht_ophoging;
Segment_1001_1D1;21.5;H_Aa_ht;
Segment_1001_1D1;18.5;P_Wdz_zf;
Segment_1001_1D1;16.5;P_Wls_s;
Segment_1001_1D1;14.5;P_Wdz_zf;
Segment_1001_1D1;7.0;P_Rbk_kz;
Segment_1001_1D1;5.0;P_Wdz_zf;
Segment_1001_1D2;60.0;H_Aa_ht_ophoging;
Segment_1001_1D2;21.5;H_Aa_ht;
Segment_1001_1D2;18.5;P_Wdz_zf;
Segment_1001_1D2;16.5;P_Rbk_vk;
Segment_1001_1D2;15.5;P_Wdz_zf;
Segment_1001_1D2;7.0;P_Rbk_kz;
Segment_1001_1D2;5.0;P_Wdz_zf;
Segment_1001_1D3;60.0;H_Aa_ht_ophoging;
Segment_1001_1D3;21.5;H_Aa_ht;
Segment_1001_1D3;18.5;P_Wdz_zf;
Segment_1001_1D3;17.5;P_Wls_s;
Segment_1001_1D3;14.5;P_Wdz_zf;
Segment_1001_1D3;7.0;P_Rbk_kz;
Segment_1001_1D3;5.0;P_Wdz_zf;
Segment_1001_1D4;60.0;H_Aa_ht_ophoging;
Segment_1001_1D4;21.5;H_Aa_ht;
Segment_1001_1D4;18.5;P_Rbk_kz;
Segment_1001_1D4;15.5;P_Wdz_zf;
Segment_1001_1D4;7.0;P_Rbk_kz;
Segment_1001_1D4;5.0;P_Wdz_zf;
Segment_1001_1D5;60.0;H_Aa_ht_ophoging;
Segment_1001_1D5;21.5;H_Aa_ht;
Segment_1001_1D5;18.5;P_Wdz_zf;
Segment_1001_1D5;16.5;P_Wls_s;
Segment_1001_1D5;14.5;P_Wdz_zf;
Segment_1001_1D5;7.0;P_Wdz_zf;
Segment_1001_1D5;5.0;P_Wdz_zf;
Segment_1001_1D6;60.0;H_Aa_ht_ophoging;
Segment_1001_1D6;21.5;H_Aa_ht;
Segment_1001_1D6;18.5;P_Wdz_zf;
Segment_1001_1D6;16.5;P_Rbk_vk;
Segment_1001_1D6;15.5;P_Wdz_zf;
Segment_1001_1D6;7.0;P_Wdz_zf;
Segment_1001_1D6;5.0;P_Wdz_zf;
Segment_1001_1D7;60.0;H_Aa_ht_ophoging;
Segment_1001_1D7;21.5;H_Aa_ht;
Segment_1001_1D7;18.5;P_Wdz_zf;
Segment_1001_1D7;17.5;P_Wls_s;
Segment_1001_1D7;14.5;P_Wdz_zf;
Segment_1001_1D7;7.0;P_Wdz_zf;
Segment_1001_1D7;5.0;P_Wdz_zf;
Segment_1001_1D8;60.0;H_Aa_ht_ophoging;
Segment_1001_1D8;21.5;H_Aa_ht;
Segment_1001_1D8;18.5;P_Rbk_kz;
Segment_1001_1D8;15.5;P_Wdz_zf;
Segment_1001_1D8;7.0;P_Wdz_zf;
Segment_1001_1D8;5.0;P_Wdz_zf;
Segment_1002_1D1;60.0;H_Aa_ht_ophoging;
Segment_1002_1D1;19.0;H_Aa_ht;
Segment_1002_1D1;18.0;P_Wdz_zf;
Segment_1002_1D1;16.5;P_Wls_s;
Segment_1002_1D1;14.0;P_Wls_s;
Segment_1002_1D1;7.0;P_Wdz_zf;
Segment_1002_1D2;60.0;H_Aa_ht_ophoging;
Segment_1002_1D2;19.0;H_Aa_ht;
Segment_1002_1D2;18.0;P_Wdz_zf;
Segment_1002_1D2;16.5;P_Wls_s;
Segment_1002_1D2;14.0;P_Wdz_zf;
Segment_1002_1D2;-1.0;P_Wdz_zf;
Segment_1002_1D3;60.0;H_Aa_ht_ophoging;
Segment_1002_1D3;19.0;H_Aa_ht;
Segment_1002_1D3;18.0;P_Wdz_zf;
Segment_1002_1D3;17.5;P_Wls_s;
Segment_1002_1D3;14.0;P_Wls_s;
Segment_1002_1D3;7.0;P_Wdz_zf;
Segment_1002_1D4;60.0;H_Aa_ht_ophoging;
Segment_1002_1D4;19.0;H_Aa_ht;
Segment_1002_1D4;18.0;P_Wdz_zf;
Segment_1002_1D4;17.5;P_Wls_s;
Segment_1002_1D4;14.0;P_Wdz_zf;
Segment_1002_1D4;-1.0;P_Wdz_zf;
Segment_1002_1D5;60.0;H_Aa_ht_ophoging;
Segment_1002_1D5;19.0;H_Aa_ht;
Segment_1002_1D5;18.0;P_Wls_s;
Segment_1002_1D5;14.0;P_Wls_s;
Segment_1002_1D5;7.0;P_Wdz_zf;
Segment_1002_1D6;60.0;H_Aa_ht_ophoging;
Segment_1002_1D6;19.0;H_Aa_ht;
Segment_1002_1D6;18.0;P_Wls_s;
Segment_1002_1D6;14.0;P_Wdz_zf;
Segment_1002_1D6;-1.0;P_Wdz_zf;
Segment_1002_1D7;60.0;H_Aa_ht_ophoging;
Segment_1002_1D7;19.0;H_Aa_ht;
Segment_1002_1D7;18.0;P_Wdz_zf;
